1.000000000000000000e+01,9.940000000000000568e+01
1.500000000000000000e+01,9.959999999999999432e+01
2.000000000000000000e+01,9.600000000000000000e+01
2.500000000000000000e+01,9.015999999999999659e+01
3.000000000000000000e+01,8.553333333333331723e+01
3.500000000000000000e+01,7.674285714285713311e+01
4.000000000000000000e+01,6.579999999999999716e+01
4.500000000000000000e+01,5.973333333333332718e+01
5.000000000000000000e+01,5.520000000000000995e+01
5.500000000000000000e+01,5.032727272727272805e+01
6.000000000000000000e+01,4.979999999999999716e+01
6.500000000000000000e+01,4.098461538461538112e+01
7.000000000000000000e+01,3.877142857142857224e+01
7.500000000000000000e+01,3.866666666666666430e+01
