1.000000000000000000e+01,9.999600000000000932e+01
2.000000000000000000e+01,9.996600000000000819e+01
3.000000000000000000e+01,9.994266666666662502e+01
4.000000000000000000e+01,9.991400000000000148e+01
5.000000000000000000e+01,9.991599999999999682e+01
6.000000000000000000e+01,9.975266666666666993e+01
7.000000000000000000e+01,9.970285714285711265e+01
8.000000000000000000e+01,9.967749999999996646e+01
9.000000000000000000e+01,9.958933333333335725e+01
1.000000000000000000e+02,9.938680000000000803e+01
1.100000000000000000e+02,9.919345454545452867e+01
1.200000000000000000e+02,9.889566666666665640e+01
1.300000000000000000e+02,9.858799999999995123e+01
1.400000000000000000e+02,9.767171428571431591e+01
1.500000000000000000e+02,9.677466666666664707e+01
1.600000000000000000e+02,9.601050000000000750e+01
1.700000000000000000e+02,9.471623529411763798e+01
1.800000000000000000e+02,9.411444444444443036e+01
1.900000000000000000e+02,9.360526315789473983e+01
2.000000000000000000e+02,9.240559999999997842e+01
